record_type,weight_config,case_id,overall_maturity,readiness_index,rank,reference,alternate,spearman,kendall_tau,cases_rank_changed,total_rank_displacement,rank_shift
case_score,uniform,municipality_compliance_gap,2.56,64.0,3,,,,,,,
case_score,uniform,municipality_high_readiness,3.64,91.0,2,,,,,,,
case_score,uniform,municipality_low_readiness,0.2,5.0,5,,,,,,,
case_score,uniform,municipality_medium_readiness,2.0,50.0,4,,,,,,,
case_score,uniform,municipality_sovereign_ready,3.88,97.0,1,,,,,,,
case_score,oversight_heavy,municipality_compliance_gap,2.175,54.37,3,,,,,,,
case_score,oversight_heavy,municipality_high_readiness,3.6,90.0,2,,,,,,,
case_score,oversight_heavy,municipality_low_readiness,0.125,3.12,5,,,,,,,
case_score,oversight_heavy,municipality_medium_readiness,2.0,50.0,4,,,,,,,
case_score,oversight_heavy,municipality_sovereign_ready,3.775,94.38,1,,,,,,,
case_score,data_governance_heavy,municipality_compliance_gap,2.971,74.28,3,,,,,,,
case_score,data_governance_heavy,municipality_high_readiness,3.629,90.72,2,,,,,,,
case_score,data_governance_heavy,municipality_low_readiness,0.2,5.0,5,,,,,,,
case_score,data_governance_heavy,municipality_medium_readiness,2.0,50.0,4,,,,,,,
case_score,data_governance_heavy,municipality_sovereign_ready,3.914,97.85,1,,,,,,,
case_score,sovereignty_heavy,municipality_compliance_gap,2.6,65.0,3,,,,,,,
case_score,sovereignty_heavy,municipality_high_readiness,3.65,91.25,2,,,,,,,
case_score,sovereignty_heavy,municipality_low_readiness,0.275,6.88,5,,,,,,,
case_score,sovereignty_heavy,municipality_medium_readiness,2.0,50.0,4,,,,,,,
case_score,sovereignty_heavy,municipality_sovereign_ready,3.925,98.12,1,,,,,,,
comparison,,municipality_compliance_gap,,,,uniform,oversight_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_high_readiness,,,,uniform,oversight_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_low_readiness,,,,uniform,oversight_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_medium_readiness,,,,uniform,oversight_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_sovereign_ready,,,,uniform,oversight_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_compliance_gap,,,,uniform,data_governance_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_high_readiness,,,,uniform,data_governance_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_low_readiness,,,,uniform,data_governance_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_medium_readiness,,,,uniform,data_governance_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_sovereign_ready,,,,uniform,data_governance_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_compliance_gap,,,,uniform,sovereignty_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_high_readiness,,,,uniform,sovereignty_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_low_readiness,,,,uniform,sovereignty_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_medium_readiness,,,,uniform,sovereignty_heavy,1.000000,1.000000,0,0,0
comparison,,municipality_sovereign_ready,,,,uniform,sovereignty_heavy,1.000000,1.000000,0,0,0
random_summary,,,,,,uniform,random_n=1000,0.985000,0.970000,0.300,,seed=42
random_summary_detail,,,,,,,,min=0.900000,min=0.800000,std_spearman=0.035725,std_kendall=0.071450,perfect_fraction=0.8500
