record_type,profile_id,distribution,d1_score,d2_score,d3_score,d4_score,d5_score,d6_score,overall_maturity,readiness_raw,readiness_final,readiness_band,safeguard_applied,readiness_delta_raw_final,metric,value,count,fraction
profile,grb_mc_00000,uniform,1.889,1.222,1.889,2.556,2.0,1.444,1.833,45.82,45.82,Emerging,False,0.0,,,,
profile,grb_mc_00001,uniform,2.111,2.0,2.111,1.667,2.111,2.0,2.0,50.0,50.0,Substantially ready,False,0.0,,,,
profile,grb_mc_00002,uniform,2.444,1.889,2.333,1.889,2.111,1.222,1.981,49.53,49.53,Advanced readiness,False,0.0,,,,
profile,grb_mc_00003,uniform,2.0,1.889,2.0,2.0,2.778,2.333,2.167,54.17,54.17,Substantially ready,False,0.0,,,,
profile,grb_mc_00004,uniform,1.889,1.889,1.889,2.0,2.222,2.444,2.055,51.38,51.38,Substantially ready,False,0.0,,,,
profile,grb_mc_00005,uniform,1.667,2.333,1.889,1.778,2.333,3.222,2.204,55.1,55.1,Substantially ready,False,0.0,,,,
profile,grb_mc_00006,uniform,2.667,2.222,2.0,1.889,1.778,2.222,2.13,53.25,53.25,Substantially ready,False,0.0,,,,
profile,grb_mc_00007,uniform,1.667,2.222,2.333,1.889,1.333,1.889,1.889,47.23,47.23,Emerging,False,0.0,,,,
profile,grb_mc_00008,uniform,2.222,3.111,2.444,1.111,2.0,2.556,2.241,56.03,56.03,Substantially ready,False,0.0,,,,
profile,grb_mc_00009,uniform,1.667,1.444,1.222,1.778,1.778,2.0,1.648,41.2,41.2,Emerging,False,0.0,,,,
profile,grb_mc_00010,uniform,2.222,2.222,2.0,3.111,2.444,1.667,2.278,56.95,56.95,Substantially ready,False,0.0,,,,
profile,grb_mc_00011,uniform,2.0,2.111,1.889,1.222,1.111,2.444,1.796,44.9,44.9,Emerging,False,0.0,,,,
profile,grb_mc_00012,uniform,1.778,1.778,2.444,1.667,1.889,3.111,2.111,52.78,52.78,Substantially ready,False,0.0,,,,
profile,grb_mc_00013,uniform,1.556,1.667,2.444,2.111,2.444,2.333,2.092,52.3,52.3,Substantially ready,False,0.0,,,,
profile,grb_mc_00014,uniform,1.889,2.111,2.333,2.333,2.778,1.778,2.204,55.1,55.1,Substantially ready,False,0.0,,,,
