dimension,allowed_value,specification_version
support_level,dedicated,1.0.0
support_level,indirect,1.0.0
support_level,absent,1.0.0
applicability_label,universal,1.0.0
applicability_label,conditional,1.0.0
applicability_label,jurisdiction_specific,1.0.0
applicability_label,object_specific,1.0.0
applicability_label,catalogue_inapplicable,1.0.0
applicability_label,unknown,1.0.0
encoding_type,free_text,1.0.0
encoding_type,structured,1.0.0
encoding_type,mixed,1.0.0
encoding_type,other,1.0.0
encoding_type,not_applicable,1.0.0
documentary_linkage_layer,generic_url,1.0.0
documentary_linkage_layer,record_locator,1.0.0
documentary_linkage_layer,function_specific,1.0.0
documentary_linkage_layer,none,1.0.0
documentary_linkage_layer,not_applicable,1.0.0
