indicator_id,dimension,governance_requirement,source_framework,source_concept,rationale
legal_regulatory_gdpr_readiness,Legal and Regulatory Compliance,Demonstrate processing accountability,ART,Accountability,"GDPR accountability principle requires demonstrable compliance for training, inference, and logs."
legal_regulatory_gdpr_readiness,Legal and Regulatory Compliance,Lawful and fair processing,EU Trustworthy AI,Privacy and data governance,HLEG trustworthy AI list emphasises data governance alongside fundamental rights.
legal_regulatory_gdpr_readiness,Legal and Regulatory Compliance,Records and DPIA documentation,AI Act,Risk management and documentation,Deployer documentation duties intersect with governance records for data-intensive LLM systems.
legal_regulatory_gdpr_readiness,Legal and Regulatory Compliance,Prevent opaque data use,Mittelstadt et al.,Inconclusive risk,Undocumented flows obscure harms analogous to informational inconclusiveness in socio-technical systems.
legal_regulatory_ai_act_alignment,Legal and Regulatory Compliance,Align deployer obligations with use case,ART,Responsibility,Assigns institutional responsibility for classifying and governing municipal LLM deployments.
legal_regulatory_ai_act_alignment,Legal and Regulatory Compliance,Trustworthy design and deployment,EU Trustworthy AI,Technical robustness and safety,ALTAI prompts assessment of safety and robustness before operational reliance.
legal_regulatory_ai_act_alignment,Legal and Regulatory Compliance,Risk-based governance,AI Act,Risk management,AI Act risk management expectations inform internal classification and monitoring design.
legal_regulatory_data_retention,Legal and Regulatory Compliance,Limit storage of prompts and logs,ART,Accountability,Retention rules make processing demonstrable and bounded over time.
legal_regulatory_data_retention,Legal and Regulatory Compliance,Data minimisation,EU Trustworthy AI,Privacy and data governance,Trustworthy AI requires proportionate data use across the lifecycle.
legal_regulatory_data_retention,Legal and Regulatory Compliance,Storage limitation,AI Act,Data governance,Governance of logs and embeddings supports post-market monitoring without excess retention.
legal_regulatory_data_retention,Legal and Regulatory Compliance,Reduce harm from stale personal data,Mittelstadt et al.,Unfair outcomes,Excessive retention increases risk of discriminatory or harmful reuse of interaction data.
legal_regulatory_lawful_basis,Legal and Regulatory Compliance,Document purpose and legal basis,ART,Accountability,Purpose limitation and lawful basis are core accountability artefacts under GDPR.
legal_regulatory_lawful_basis,Legal and Regulatory Compliance,Lawful processing,EU Trustworthy AI,Privacy and data governance,HLEG links lawful processing to trustworthy municipal AI.
legal_regulatory_lawful_basis,Legal and Regulatory Compliance,Lawfulness of training and inference data,AI Act,Data governance,Deployer governance must trace datasets used in local LLM operations.
legal_regulatory_cross_border_avoidance,Legal and Regulatory Compliance,Control data location and egress,ART,Responsibility,Institutional responsibility for sovereignty claims over on-premise workloads.
legal_regulatory_cross_border_avoidance,Legal and Regulatory Compliance,Resilience and control,EU Trustworthy AI,Technical robustness and safety,Operational control supports resilience when external dependencies are limited.
legal_regulatory_cross_border_avoidance,Legal and Regulatory Compliance,Sovereign hosting,AI Act,Data governance,Data governance for deployers includes knowing where inference and logs reside.
legal_regulatory_cross_border_avoidance,Legal and Regulatory Compliance,Avoid hidden external agency,Mittelstadt et al.,Misguided agency,Covert cloud egress can misattribute decisions to local authority control.
technical_security_local_architecture,Technical and Security Readiness,Document end-to-end deployment,ART,Transparency,Architecture transparency enables oversight of local LLM components.
technical_security_local_architecture,Technical and Security Readiness,Technical robustness,EU Trustworthy AI,Technical robustness and safety,HLEG robustness requirement applies to system design documentation.
technical_security_local_architecture,Technical and Security Readiness,Technical documentation,AI Act,Documentation and record-keeping,Deployer technical documentation theme for traceable system descriptions.
technical_security_local_architecture,Technical and Security Readiness,Reduce opaque dependencies,Mittelstadt et al.,Inconclusive risk,Opaque stacks create inconclusive risk assessment for citizens and auditors.
technical_security_access_control,Technical and Security Readiness,Enforce least privilege,ART,Responsibility,Assigns responsibility for access decisions affecting model and data misuse.
technical_security_access_control,Technical and Security Readiness,Security and control,EU Trustworthy AI,Technical robustness and safety,Access control is a baseline trustworthy AI security practice.
technical_security_access_control,Technical and Security Readiness,Cybersecurity governance,AI Act,Risk management,Security measures form part of deployer risk management for AI systems.
technical_security_logging,Technical and Security Readiness,Security and accountability logging,ART,Accountability,Logs support ex-post accountability without unnecessary personal data.
